name,address,website,type,location,source,combined_at,normalized_name,category,crawled_at
Trường Đại học Khoa học Tự nhiên,VNU-HUS,QHT,Đại học/Cao đẳng,Hà Nội,Wikipedia,2025-08-03T20:42:05.712634,hoa học Tự nhiên,Đa ngành,
Trường Đại học Khoa học Xã hội và Nhân văn,VNU-USSH,QHX,Đại học/Cao đẳng,Hà Nội,Wikipedia,2025-08-03T20:42:05.712664,hoa học Xã hội và Nhân văn,Đa ngành,
Trường Đại học Việt - Nhật,VNU-VJU,QHJ,Đại học/Cao đẳng,Hà Nội,Wikipedia,2025-08-03T20:42:05.712677,iệt - Nhật,Đa ngành,
Trường Đại học Công nghệ,VNU-UET,QHI,Đại học/Cao đẳng,Hà Nội,Wikipedia,2025-08-03T20:42:05.712685,ông nghệ,Đa ngành,
Trường Đại học Giáo dục,VNU-UED,QHS,Đại học/Cao đẳng,Hà Nội,Wikipedia,2025-08-03T20:42:05.712693,iáo dục,Đa ngành,
Trường Đại học Kinh tế,VNU-UEB,QHE,Đại học/Cao đẳng,Hà Nội,Wikipedia,2025-08-03T20:42:05.712699,inh tế,Đa ngành,
Trường Đại học Ngoại ngữ,VNU-ULIS,QHF,Đại học/Cao đẳng,Hà Nội,Wikipedia,2025-08-03T20:42:05.712706,goại ngữ,Đa ngành,
Trường Đại học Y Dược,VNU-UMP,QHY,Đại học/Cao đẳng,Hà Nội,Wikipedia,2025-08-03T20:42:05.712713, Dược,Y tế,
Trường Đại học Luật[6],VNU-UL,QHL,Đại học/Cao đẳng,Hà Nội,Wikipedia,2025-08-03T20:42:05.712718,uật[6],Đa ngành,
Trường Quản trị và Kinh doanh,VNU-HSB,QHD,Đại học/Cao đẳng,Hà Nội,Wikipedia,2025-08-03T20:42:05.712725,Quản trị và Kinh doanh,Kinh tế,
Trường Quốc tế,VNU-IS,QHQ,Đại học/Cao đẳng,Hà Nội,Wikipedia,2025-08-03T20:42:05.712730,Quốc tế,Đa ngành,
Trường Khoa học liên ngành và Nghệ thuật,VNU-SIS,QHK,Đại học/Cao đẳng,Hà Nội,Wikipedia,2025-08-03T20:42:05.712735,Khoa học liên ngành và Nghệ thuật,Đa ngành,
Khoa Quốc tế Pháp ngữ,VNU-IFI,QHP,Đại học/Cao đẳng,Hà Nội,Wikipedia,2025-08-03T20:42:05.712742,Khoa Quốc tế Pháp ngữ,Luật,
Đại học Bách khoa Hà Nội,HUST,BKA,Đại học/Cao đẳng,Hà Nội,Wikipedia,2025-08-03T20:42:05.712746,ách khoa Hà Nội,Đa ngành,
Trường Đại học Công đoàn,TUU,LDA,Đại học/Cao đẳng,Hà Nội,Wikipedia,2025-08-03T20:42:05.712751,ông đoàn,Đa ngành,
Trường Đại học Công nghệ Giao thông vận tải,UTT,GTA,Đại học/Cao đẳng,Hà Nội,Wikipedia,2025-08-03T20:42:05.712755,ông nghệ Giao thông vận tải,Đa ngành,
Trường Đại học Tài nguyên và Môi trường Hà Nội,HUNRE,DMT,Đại học/Cao đẳng,Hà Nội,Wikipedia,2025-08-03T20:42:05.712761,ài nguyên và Môi trường Hà Nội,Y tế,
Trường Đại học Công nghiệp Hà Nội,HAUI,DCN,Đại học/Cao đẳng,Hà Nội,Wikipedia,2025-08-03T20:42:05.712765,ông nghiệp Hà Nội,Đa ngành,
Trường Đại học Công nghiệp Việt-Hung,VIU,VHD,Đại học/Cao đẳng,Hà Nội,Wikipedia,2025-08-03T20:42:05.712770,ông nghiệp Việt-Hung,Đa ngành,
Trường Đại học Dược Hà Nội,HUP,DKH,Đại học/Cao đẳng,Hà Nội,Wikipedia,2025-08-03T20:42:05.712775,ược Hà Nội,Đa ngành,
Trường Đại học Điện lực,EPU,DDL,Đại học/Cao đẳng,Hà Nội,Wikipedia,2025-08-03T20:42:05.712780,iện lực,Đa ngành,
Trường Đại học Giao thông Vận tải,UTC,GHA,Đại học/Cao đẳng,Hà Nội,Wikipedia,2025-08-03T20:42:05.712783,iao thông Vận tải,Đa ngành,
Trường Đại học Hà Nội,HANU,NHF,Đại học/Cao đẳng,Hà Nội,Wikipedia,2025-08-03T20:42:05.712788,à Nội,Đa ngành,
Trường Đại học Khoa học và Công nghệ Hà Nội,USTH,KCN,Đại học/Cao đẳng,Hà Nội,Wikipedia,2025-08-03T20:42:05.712792,hoa học và Công nghệ Hà Nội,Kỹ thuật,
Trường Đại học Kiểm sát Hà Nội,TKS,DKS,Đại học/Cao đẳng,Hà Nội,Wikipedia,2025-08-03T20:42:05.712794,iểm sát Hà Nội,Đa ngành,
Trường Đại học Kiến trúc Hà Nội,HAU,KTA,Đại học/Cao đẳng,Hà Nội,Wikipedia,2025-08-03T20:42:05.712799,iến trúc Hà Nội,Đa ngành,
Trường Đại học Kinh tế - Kỹ thuật Công nghiệp,UNETI,DKK,Đại học/Cao đẳng,Hà Nội,Wikipedia,2025-08-03T20:42:05.712804,inh tế - Kỹ thuật Công nghiệp,Kỹ thuật,
Đại học Kinh tế Quốc dân,NEU,KHA,Đại học/Cao đẳng,Hà Nội,Wikipedia,2025-08-03T20:42:05.712805,inh tế Quốc dân,Đa ngành,
Trường Đại học Lao động - Xã hội,ULSA,DLX,Đại học/Cao đẳng,Hà Nội,Wikipedia,2025-08-03T20:42:05.712810,ao động - Xã hội,Đa ngành,
Trường Đại học Lâm nghiệp Việt Nam,VNUF,LNH,Đại học/Cao đẳng,Hà Nội,Wikipedia,2025-08-03T20:42:05.712814,âm nghiệp Việt Nam,Đa ngành,
Trường Đại học Luật Hà Nội,HLU,LPH,Đại học/Cao đẳng,Hà Nội,Wikipedia,2025-08-03T20:42:05.712819,uật Hà Nội,Đa ngành,
Trường Đại học Mỏ - Địa chất,HUMG,MDA,Đại học/Cao đẳng,Hà Nội,Wikipedia,2025-08-03T20:42:05.712823,ỏ - Địa chất,Đa ngành,
Trường Đại học Mỹ thuật Công nghiệp,UAD,MTC,Đại học/Cao đẳng,Hà Nội,Wikipedia,2025-08-03T20:42:05.712827,ỹ thuật Công nghiệp,Đa ngành,
