name,short_name,english_name,address,location,city,province,phone,email,website,facebook,logo_url,banner_url,description,history,mission,vision,type,status,founded_year,accreditation,specializations,facilities,achievements,ranking_national,ranking_international,student_count,faculty_count,acceptance_rate,tuition_fee_min,tuition_fee_max,currency,admission_requirements,scholarships,international_partnerships,campus_map_url,latitude,longitude,is_featured,is_verified,view_count,review_count,average_rating,total_rating,source,crawled_at
Khoa học Tự nhiên,Khoa học T...,Khoa học Tự nhiên University,VNU-HUS,[],,,,,QHT,,,,,,,,UniversityType.PUBLIC,UniversityStatus.ACTIVE,,,,,,,,,,,,,VND,,,,,,,False,True,0,0,0.0,0,Wikipedia Hà Nội,2025-08-03T22:02:48.538001
Khoa học Xã hội và Nhân văn,Khoa học X...,Khoa học Xã hội và Nhân văn University,VNU-USSH,[],,,,,QHX,,,,,,,,UniversityType.PUBLIC,UniversityStatus.ACTIVE,,,,,,,,,,,,,VND,,,,,,,False,True,0,0,0.0,0,Wikipedia Hà Nội,2025-08-03T22:02:48.538065
Việt - Nhật,Việt - Nhậ...,Việt - Nhật University,VNU-VJU,[],,,,,QHJ,,,,,,,,UniversityType.PUBLIC,UniversityStatus.ACTIVE,,,,,,,,,,,,,VND,,,,,,,False,True,0,0,0.0,0,Wikipedia Hà Nội,2025-08-03T22:02:48.538100
Công nghệ,Công nghệ,Công nghệ University,VNU-UET,[],,,,,QHI,,,,,,,,UniversityType.PUBLIC,UniversityStatus.ACTIVE,,,,,,,,,,,,,VND,,,,,,,False,True,0,0,0.0,0,Wikipedia Hà Nội,2025-08-03T22:02:48.538126
Giáo dục,Giáo dục,Giáo dục University,VNU-UED,[],,,,,QHS,,,,,,,,UniversityType.PUBLIC,UniversityStatus.ACTIVE,,,,,,,,,,,,,VND,,,,,,,False,True,0,0,0.0,0,Wikipedia Hà Nội,2025-08-03T22:02:48.538148
Kinh tế,Kinh tế,Kinh tế University,VNU-UEB,[],,,,,QHE,,,,,,,,UniversityType.PUBLIC,UniversityStatus.ACTIVE,,,,,,,,,,,,,VND,,,,,,,False,True,0,0,0.0,0,Wikipedia Hà Nội,2025-08-03T22:02:48.538171
Ngoại ngữ,Ngoại ngữ,Ngoại ngữ University,VNU-ULIS,[],,,,,QHF,,,,,,,,UniversityType.PUBLIC,UniversityStatus.ACTIVE,,,,,,,,,,,,,VND,,,,,,,False,True,0,0,0.0,0,Wikipedia Hà Nội,2025-08-03T22:02:48.538192
Y Dược,Y Dược,Y Dược University,VNU-UMP,[],,,,,QHY,,,,,,,,UniversityType.PUBLIC,UniversityStatus.ACTIVE,,,,,,,,,,,,,VND,,,,,,,False,True,0,0,0.0,0,Wikipedia Hà Nội,2025-08-03T22:02:48.538211
Quản trị và Kinh doanh,Quản trị v...,Quản trị và Kinh doanh University,VNU-HSB,[],,,,,QHD,,,,,,,,UniversityType.PUBLIC,UniversityStatus.ACTIVE,,,,,,,,,,,,,VND,,,,,,,False,True,0,0,0.0,0,Wikipedia Hà Nội,2025-08-03T22:02:48.538249
Quốc tế,Quốc tế,Quốc tế University,VNU-IS,[],,,,,QHQ,,,,,,,,UniversityType.INTERNATIONAL,UniversityStatus.ACTIVE,,,,,,,,,,,,,VND,,,,,,,False,True,0,0,0.0,0,Wikipedia Hà Nội,2025-08-03T22:02:48.538268
Khoa học liên ngành và Nghệ thuật,Khoa học l...,Khoa học liên ngành và Nghệ thuật University,VNU-SIS,[],,,,,QHK,,,,,,,,UniversityType.PUBLIC,UniversityStatus.ACTIVE,,,,,,,,,,,,,VND,,,,,,,False,True,0,0,0.0,0,Wikipedia Hà Nội,2025-08-03T22:02:48.538290
Khoa Quốc tế Pháp ngữ,Khoa Quốc ...,Khoa Quốc tế Pháp ngữ University,VNU-IFI,[],,,,,QHP,,,,,,,,UniversityType.INTERNATIONAL,UniversityStatus.ACTIVE,,,,,,,,,,,,,VND,,,,,,,False,True,0,0,0.0,0,Wikipedia Hà Nội,2025-08-03T22:02:48.538311
Bách khoa Hà Nội,Bách khoa ...,Bách khoa Hà Nội University,HUST,[],,,,,BKA,,,,,,,,UniversityType.PUBLIC,UniversityStatus.ACTIVE,,,,,,,,,,,,,VND,,,,,,,False,True,0,0,0.0,0,Wikipedia Hà Nội,2025-08-03T22:02:48.538527
Công đoàn,Công đoàn,Công đoàn University,TUU,[],,,,,LDA,,,,,,,,UniversityType.PUBLIC,UniversityStatus.ACTIVE,,,,,,,,,,,,,VND,,,,,,,False,True,0,0,0.0,0,Wikipedia Hà Nội,2025-08-03T22:02:48.538552
Công nghệ Giao thông vận tải,Công nghệ ...,Công nghệ Giao thông vận tải University,UTT,[],,,,,GTA,,,,,,,,UniversityType.PUBLIC,UniversityStatus.ACTIVE,,,,,,,,,,,,,VND,,,,,,,False,True,0,0,0.0,0,Wikipedia Hà Nội,2025-08-03T22:02:48.538576
Tài nguyên và Môi trường Hà Nội,Tài nguyên...,Tài nguyên và Môi trường Hà Nội University,HUNRE,[],,,,,DMT,,,,,,,,UniversityType.PUBLIC,UniversityStatus.ACTIVE,,,,,,,,,,,,,VND,,,,,,,False,True,0,0,0.0,0,Wikipedia Hà Nội,2025-08-03T22:02:48.538601
Công nghiệp Hà Nội,Công nghiệ...,Công nghiệp Hà Nội University,HAUI,[],,,,,DCN,,,,,,,,UniversityType.PUBLIC,UniversityStatus.ACTIVE,,,,,,,,,,,,,VND,,,,,,,False,True,0,0,0.0,0,Wikipedia Hà Nội,2025-08-03T22:02:48.538622
Công nghiệp Việt-Hung,Công nghiệ...,Công nghiệp Việt-Hung University,VIU,[],,,,,VHD,,,,,,,,UniversityType.PUBLIC,UniversityStatus.ACTIVE,,,,,,,,,,,,,VND,,,,,,,False,True,0,0,0.0,0,Wikipedia Hà Nội,2025-08-03T22:02:48.538643
Dược Hà Nội,Dược Hà Nộ...,Dược Hà Nội University,HUP,[],,,,,DKH,,,,,,,,UniversityType.PUBLIC,UniversityStatus.ACTIVE,,,,,,,,,,,,,VND,,,,,,,False,True,0,0,0.0,0,Wikipedia Hà Nội,2025-08-03T22:02:48.538663
Điện lực,Điện lực,Điện lực University,EPU,[],,,,,DDL,,,,,,,,UniversityType.PUBLIC,UniversityStatus.ACTIVE,,,,,,,,,,,,,VND,,,,,,,False,True,0,0,0.0,0,Wikipedia Hà Nội,2025-08-03T22:02:48.538684
Giao thông Vận tải,Giao thông...,Giao thông Vận tải University,UTC,[],,,,,GHA,,,,,,,,UniversityType.PUBLIC,UniversityStatus.ACTIVE,,,,,,,,,,,,,VND,,,,,,,False,True,0,0,0.0,0,Wikipedia Hà Nội,2025-08-03T22:02:48.538706
Hà Nội,Hà Nội,Hà Nội University,HANU,[],,,,,NHF,,,,,,,,UniversityType.PUBLIC,UniversityStatus.ACTIVE,,,,,,,,,,,,,VND,,,,,,,False,True,0,0,0.0,0,Wikipedia Hà Nội,2025-08-03T22:02:48.538726
Khoa học và Công nghệ Hà Nội,Khoa học v...,Khoa học và Công nghệ Hà Nội University,USTH,[],,,,,KCN,,,,,,,,UniversityType.PUBLIC,UniversityStatus.ACTIVE,,,,,,,,,,,,,VND,,,,,,,False,True,0,0,0.0,0,Wikipedia Hà Nội,2025-08-03T22:02:48.538748
Kiểm sát Hà Nội,Kiểm sát H...,Kiểm sát Hà Nội University,TKS,[],,,,,DKS,,,,,,,,UniversityType.PUBLIC,UniversityStatus.ACTIVE,,,,,,,,,,,,,VND,,,,,,,False,True,0,0,0.0,0,Wikipedia Hà Nội,2025-08-03T22:02:48.538769
Kiến trúc Hà Nội,Kiến trúc ...,Kiến trúc Hà Nội University,HAU,[],,,,,KTA,,,,,,,,UniversityType.PUBLIC,UniversityStatus.ACTIVE,,,,,,,,,,,,,VND,,,,,,,False,True,0,0,0.0,0,Wikipedia Hà Nội,2025-08-03T22:02:48.538789
Kinh tế - Kỹ thuật Công nghiệp,Kinh tế - ...,Kinh tế - Kỹ thuật Công nghiệp University,UNETI,[],,,,,DKK,,,,,,,,UniversityType.PUBLIC,UniversityStatus.ACTIVE,,,,,,,,,,,,,VND,,,,,,,False,True,0,0,0.0,0,Wikipedia Hà Nội,2025-08-03T22:02:48.538812
Kinh tế Quốc dân,Kinh tế Qu...,Kinh tế Quốc dân University,NEU,[],,,,,KHA,,,,,,,,UniversityType.PUBLIC,UniversityStatus.ACTIVE,,,,,,,,,,,,,VND,,,,,,,False,True,0,0,0.0,0,Wikipedia Hà Nội,2025-08-03T22:02:48.538831
Lao động - Xã hội,Lao động -...,Lao động - Xã hội University,ULSA,[],,,,,DLX,,,,,,,,UniversityType.PUBLIC,UniversityStatus.ACTIVE,,,,,,,,,,,,,VND,,,,,,,False,True,0,0,0.0,0,Wikipedia Hà Nội,2025-08-03T22:02:48.538853
Lâm nghiệp Việt Nam,Lâm nghiệp...,Lâm nghiệp Việt Nam University,VNUF,[],,,,,LNH,,,,,,,,UniversityType.PUBLIC,UniversityStatus.ACTIVE,,,,,,,,,,,,,VND,,,,,,,False,True,0,0,0.0,0,Wikipedia Hà Nội,2025-08-03T22:02:48.538874
Luật Hà Nội,Luật Hà Nộ...,Luật Hà Nội University,HLU,[],,,,,LPH,,,,,,,,UniversityType.PUBLIC,UniversityStatus.ACTIVE,,,,,,,,,,,,,VND,,,,,,,False,True,0,0,0.0,0,Wikipedia Hà Nội,2025-08-03T22:02:48.538902
Mỏ - Địa chất,Mỏ - Địa c...,Mỏ - Địa chất University,HUMG,[],,,,,MDA,,,,,,,,UniversityType.PUBLIC,UniversityStatus.ACTIVE,,,,,,,,,,,,,VND,,,,,,,False,True,0,0,0.0,0,Wikipedia Hà Nội,2025-08-03T22:02:48.538924
Mỹ thuật Công nghiệp,Mỹ thuật C...,Mỹ thuật Công nghiệp University,UAD,[],,,,,MTC,,,,,,,,UniversityType.PUBLIC,UniversityStatus.ACTIVE,,,,,,,,,,,,,VND,,,,,,,False,True,0,0,0.0,0,Wikipedia Hà Nội,2025-08-03T22:02:48.538945
Mỹ thuật Việt Nam,Mỹ thuật V...,Mỹ thuật Việt Nam University,VNUFA,[],,,,,MTH,,,,,,,,UniversityType.PUBLIC,UniversityStatus.ACTIVE,,,,,,,,,,,,,VND,,,,,,,False,True,0,0,0.0,0,Wikipedia Hà Nội,2025-08-03T22:02:48.538966
Ngoại thương,Ngoại thươ...,Ngoại thương University,FTU,[],,,,,NTH,,,,,,,,UniversityType.PUBLIC,UniversityStatus.ACTIVE,,,,,,,,,,,,,VND,,,,,,,False,True,0,0,0.0,0,Wikipedia Hà Nội,2025-08-03T22:02:48.538987
