name,address,website,type,location,source
Trường Đại học Khoa học Tự nhiên,VNU-HUS,QHT,Đại học/Cao đẳng,Hà Nội,Wikipedia
Trường Đại học Khoa học Xã hội và Nhân văn,VNU-USSH,QHX,Đại học/Cao đẳng,Hà Nội,Wikipedia
Trường Đại học Việt - Nhật,VNU-VJU,QHJ,Đại học/Cao đẳng,Hà Nội,Wikipedia
Trường Đại học Công nghệ,VNU-UET,QHI,Đại học/Cao đẳng,Hà Nội,Wikipedia
Trường Đại học Giáo dục,VNU-UED,QHS,Đại học/Cao đẳng,Hà Nội,Wikipedia
Trường Đại học Kinh tế,VNU-UEB,QHE,Đại học/Cao đẳng,Hà Nội,Wikipedia
Trường Đại học Ngoại ngữ,VNU-ULIS,QHF,Đại học/Cao đẳng,Hà Nội,Wikipedia
Trường Đại học Y Dược,VNU-UMP,QHY,Đại học/Cao đẳng,Hà Nội,Wikipedia
Trường Đại học Luật[6],VNU-UL,QHL,Đại học/Cao đẳng,Hà Nội,Wikipedia
Trường Quản trị và Kinh doanh,VNU-HSB,QHD,Đại học/Cao đẳng,Hà Nội,Wikipedia
Trường Quốc tế,VNU-IS,QHQ,Đại học/Cao đẳng,Hà Nội,Wikipedia
Trường Khoa học liên ngành và Nghệ thuật,VNU-SIS,QHK,Đại học/Cao đẳng,Hà Nội,Wikipedia
Khoa Quốc tế Pháp ngữ,VNU-IFI,QHP,Đại học/Cao đẳng,Hà Nội,Wikipedia
Đại học Bách khoa Hà Nội,HUST,BKA,Đại học/Cao đẳng,Hà Nội,Wikipedia
Trường Đại học Công đoàn,TUU,LDA,Đại học/Cao đẳng,Hà Nội,Wikipedia
Trường Đại học Công nghệ Giao thông vận tải,UTT,GTA,Đại học/Cao đẳng,Hà Nội,Wikipedia
Trường Đại học Tài nguyên và Môi trường Hà Nội,HUNRE,DMT,Đại học/Cao đẳng,Hà Nội,Wikipedia
Trường Đại học Công nghiệp Hà Nội,HAUI,DCN,Đại học/Cao đẳng,Hà Nội,Wikipedia
Trường Đại học Công nghiệp Việt-Hung,VIU,VHD,Đại học/Cao đẳng,Hà Nội,Wikipedia
Trường Đại học Dược Hà Nội,HUP,DKH,Đại học/Cao đẳng,Hà Nội,Wikipedia
Trường Đại học Điện lực,EPU,DDL,Đại học/Cao đẳng,Hà Nội,Wikipedia
Trường Đại học Giao thông Vận tải,UTC,GHA,Đại học/Cao đẳng,Hà Nội,Wikipedia
Trường Đại học Hà Nội,HANU,NHF,Đại học/Cao đẳng,Hà Nội,Wikipedia
Trường Đại học Khoa học và Công nghệ Hà Nội,USTH,KCN,Đại học/Cao đẳng,Hà Nội,Wikipedia
Trường Đại học Kiểm sát Hà Nội,TKS,DKS,Đại học/Cao đẳng,Hà Nội,Wikipedia
