acceptance_rate,accreditation,achievements,address,admission_requirements,average_rating,banner_url,campus_map_url,city,crawled_at,currency,description,email,english_name,error,facebook,facilities,faculty_count,founded_year,history,international_partnerships,is_featured,is_verified,latitude,location,logo_url,longitude,mission,name,phone,province,ranking_international,ranking_national,review_count,scholarships,short_name,source,specializations,status,student_count,total_rating,tuition_fee_max,tuition_fee_min,type,view_count,vision,website
,,,,,0.0,,,,2025-08-19T02:09:24.120185,VND,,,,,,[],,,,,False,False,,,,,,,,,,,0,,,Crawler error: Cannot fetch https://uit.edu.vn,[],active,,0,,,,0,,https://uit.edu.vn
,,,,,,,,,2025-08-19T02:09:26.637601,,,,,name 'parse_qs' is not defined,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.hust.edu.vn
,,,,,0.0,,,,2025-08-19T02:09:27.815378,VND,,,,,,[],,,,,False,False,,,,,,HCMUT Page,,,,,0,,HCMUT,Crawler,[],active,,0,,,,0,,https://www.hcmut.edu.vn
,,,"mẫu và tách dung môi Khu 2, Đ. 3/2, P. Ninh Kiều, TP. Cần Thơ ĐT: +84292 3831 530; 3838 237; 3832 663 Fax: +84292 3838 474",,0.0,,,Cần Thơ,2025-08-19T02:09:31.104100,VND,Giới thiệu Giới thiệu Tin tức Tuyển sinh Đào tạo Nghiên cứu Hợp tác Đơn vị trực thuộc Tân sinh viên Người học Viên chức Cựu sinh viên Sự kiện English Tân sinh viên Người học Viên chức Cựu sinh viên EN Trang chủ Giới thiệu Tổng quan Đảng ủy Hội đồng Trường Ban Giám hiệu Hội đồng Khoa học và Đào tạo Hội đồng Đả,dhct@ctu.edu.vn,Đại học Cần Thơ - Can Tho University,,https://facebook.com/ctudhct,[],,,"Lịch sử, Địa lý, và Ngoại ngữ. Sau đó mở rộng thành 5 Khoa: Toán - Lý (1980), Hóa - Sinh (1980), Sử - Địa (1982), Ngữ văn (1983) và Ngoại ngữ (1983). Trường Cao đẳng Nông nghiệp được đổi tên thành Khoa Nông nghiệp, đào tạo 2 ngành Trồng trọt và Chăn nuôi. Đến năm 1979, Khoa Nông nghiệp được mở rộng thành 7 Khoa: Trồng trọt (1977), Chăn nuôi - Thú y (1978), Thủy nông và Cải tạo đất (1978), Cơ khí Nông ngh",,False,False,,,https://www.ctu.edu.vn/images/upload/logo.png,,"Sứ mệnh Đại học Cần Thơ là nơi đào tạo con người tinh hoa trong môi trường học tập khai phóng, nghiên cứu khoa học và chuyển giao công nghệ đương đại, phát triển xã hội thịnh vượng Tầm nhìn Đại học Cần Thơ là nơi hội tụ, giao thoa và sản sinh tri thức - văn hóa - khoa học - công nghệ, tác động vào phát triển xã hội bền vững Giá trị cốt lõi Đồng thuận - Tận tâm - Chuẩn mực - Sáng tạo Triết lý giáo dục Vì",CTU,,Cần Thơ,,,0,,CTU,Crawler,"['Khu 2, Đ. 3/2, P. Ninh Kiều, TP. Cần Thơ', 'ĐT: +84292 3831 530; 3838 237; 3832 663', 'Fax: +84292 3838 474', 'dhct@ctu.edu.vn']",active,,0,,,public,0,"Tầm nhìn Đại học Cần Thơ là nơi hội tụ, giao thoa và sản sinh tri thức - văn hóa - khoa học - công nghệ, tác động vào phát triển xã hội bền vững Giá trị cốt lõi Đồng thuận - Tận tâm - Chuẩn mực - Sáng tạo Triết lý giáo dục Vì cộng đồng, toàn diện, ưu việt Mục tiêu giáo dục Đào tạo nhân lực trình độ cao, nâng cao dân trí, bồi dưỡng nhân tài; NCKH và công nghệ tạo ra tri thức, sản phẩm mới và phục vụ cộng đ",https://www.ctu.edu.vn
,,,,,0.0,,,,2025-08-19T02:09:32.131587,VND,,,,,,[],,,,,False,False,,,,,,,,,,,0,,,Crawler error: Cannot fetch https://www.dhqghn.edu.vn,[],active,,0,,,,0,,https://www.dhqghn.edu.vn
,,,,,0.0,,,,2025-08-19T02:09:33.233108,VND,,,,,,[],,,,,False,False,,,,,,,,,,,0,,,Crawler error: Cannot fetch https://www.udn.vn,[],active,,0,,,,0,,https://www.udn.vn
,,,,,0.0,,,,2025-08-19T02:09:34.278378,VND,,,,,,[],,,,,False,False,,,,,,,,,,,0,,,Crawler error: Cannot fetch https://www.agu.edu.vn,[],active,,0,,,,0,,https://www.agu.edu.vn
,,,,,,,,,2025-08-19T02:09:57.037692,,,,,name 'parse_qs' is not defined,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.tdmu.edu.vn
,,,,,0.0,,,,2025-08-19T02:09:58.143413,VND,,,,,,[],,,,,False,False,,,,,,,,,,,0,,,Crawler error: Cannot fetch https://www.ctuet.edu.vn,[],active,,0,,,,0,,https://www.ctuet.edu.vn
,,,,,0.0,,,,2025-08-19T02:09:59.164762,VND,,,,,,[],,,,,False,False,,,,,,,,,,,0,,,Crawler error: Cannot fetch https://www.ctuet.edu.vn,[],active,,0,,,,0,,https://www.ctuet.edu.vn
,,,"59C Nguyễn Ðình Chiểu, phường Xuân Hòa, Thành phố Hồ Chí Minh Điện thoại: 84.28.7306.1976 - Fax:",,0.0,https://en.ueh.edu.vn/images/upload/slide/banner-truong-kinh-doanh_1499x600-110946-101821.jpg,,Hồ Chí Minh,2025-08-19T02:10:01.643660,VND,"Đại học Kinh tế TP. Hồ Chí Minh được thành lập từ năm 1976, là một đại học đa ngành, với nhiều bậc, hệ đào tạo đa dạng. Đại học có đội ngũ giáo sư, giảng viên được đào tạo từ nhiều nguồn, có trình độ cao, có uy tín khoa học và chuyên môn.",info@ueh.edu.vn,University of Economics Ho Chi Minh City,,https://www.facebook.com/DHKT.UEH/,[],,,,,False,False,,,https://www.ueh.edu.vn/images/logo-header.png,,,Đại học Kinh tế TP. Hồ Chí Minh,84.28.3825035,Hồ Chí Minh,,,0,,UEH,Crawler,"['Khóa học “Truyền thông hiện đại tích hợp cho tiếp thị bền vững”: Mô hình mới cho giáo dục liên ngành về hành động khí hậu và phát triển bền vững', 'KHOA HỌC - GÓC NHÌN CHUYÊN GIA', 'Ứng dụng giáo dục Đa trí tuệ cho trẻ mầm non và tiểu học đạt giải Nhất cuộc thi Bach Khoa Innovation', '“Đến năm 2030, UEH sẽ trở thành Đại học Đa ngành và hành động bền vững, thuộc Top 250 đại học hàng đầu Châu Á, hướng đến Top 150 vào năm 2045” GS.TS. Nguyễn Đông Phong Chủ tịch Hội đồng đại học', 'Đến năm 2030, UEH sẽ trở thành Đại học Đa ngành và hành động bền vững, thuộc Top 250 đại học hàng đầu Châu Á, hướng đến Top 150 vào năm 2045 GS.TS. NGUYỄN ĐÔNG PHONG Chủ tịch Hội đồng đại học UEH Mô hình chiến lược UEH bền vững', 'Viện Khoa học chính trị - xã hội']",active,,0,,,public,0,"Tầm nhìn Top 501+ Đại học thế giới năm 2025 theo Bảng xếp hạng Times Higher Education (THE) Thành tựu Hướng đến Đại học đa ngành và bền vững Chiến lược định vị UEH Cơ sở vật chất hiện đại Cơ sở vật chất Tận tâm với người học Văn hóa UEH Lấy phát triển bền vững làm nền tảng Cơ cấu tổ chức Cộng đồng UEHer tiên phong đổi mới, sáng tạo, truyền cảm hứng nghệ thuật Đội ngũ viên chức Cảm nhận về UEH ""UEH là trườ",https://www.ueh.edu.vn
