acceptance_rate,accreditation,achievements,address,admission_requirements,average_rating,banner_url,campus_map_url,city,crawled_at,currency,description,email,english_name,facebook,facilities,faculty_count,founded_year,history,international_partnerships,is_featured,is_verified,latitude,location,logo_url,longitude,mission,name,phone,province,ranking_international,ranking_national,review_count,scholarships,short_name,source,specializations,status,student_count,total_rating,tuition_fee_max,tuition_fee_min,type,view_count,vision,website
,,,,,0.0,,,,2025-08-19T02:11:24.983722,VND,,,,,[],,,,,False,False,,,,,,,,,,,0,,,Crawler error: Cannot fetch https://uit.edu.vn,[],active,,0,,,,0,,https://uit.edu.vn
,,,"sẽ cố gắng phản hồi sớm nhất ! Văn phòng Đại học Nhà C1-114, 215, 217 Điện thoại:",,0.0,https://www.hust.edu.vn/uploads/sys/banners/cover1.png,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d1809.3259883834749!2d105.84095104716604!3d21.005201460722592!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3135ad591575f7bb%3A0x28c483c5b1697381!2zxJDhuqFpIEjhu41jIELDoWNoIEtob2EgSMOgIE7hu5lpIEPhu5VuZyBQYXJhYm9s!5e0!3m2!1svi!2s!4v1666925153384!5m2!1svi!2s,Hà Nội,2025-08-19T02:11:27.379804,VND,Đại học Bách khoa Hà Nội - HaNoi University of science and technology,vp@hust.edu.vn,,https://www.facebook.com/dhbkhanoi/?fref=ts,"['Thư Viện', 'Phòng Thí Nghiệm']",,,"Lịch sử Sứ mạng, Tầm nhìn, Giá trị cốt lõi và Chính sách chất lượng Chiến lược phát triển Danh hiệu - Khen thưởng Báo cáo thường niên Cơ cấu tổ chức BCH Đảng bộ Đại học Hội đồng Đại học Ban Giám đốc Đại học Các tổ chức đoàn thể Trường - Khoa - Viện đào tạo Viện - Trung tâm nghiên cứu Phòng - Ban - Trung tâm Hội đồng khoa học và đào tạo Hệ thống doanh nghiệp Đội ngũ cán bộ Thông tin công khai BÁO CÁO THƯỜ",,False,False,,,https://www.hust.edu.vn/uploads/sys/logo-dhbk-1-02_130_191.png,,,Đại học Bách khoa Hà Nội,0243 869 2222,Hà Nội,,,0,,HUST,Crawler,"['Tuyển dụng', 'Tài nguyên số', 'Email', 'Lịch công tác', 'Liên hệ', 'Thông tin ứng viên đăng ký xét công nhận đạt tiêu chuẩn GS/PGS', 'Hoạt động nghiên cứu khoa học và sáng tạo', 'Thông tin về các Viện, Trung tâm nghiên cứu, Phòng thí nghiệm', 'Tạp chí khoa học công nghệ', 'Đại học', 'Cao học', 'Vừa làm vừa học', 'Nghiên cứu sinh', 'Văn bằng 2', 'Viện - khoa đào tạo', 'Viện - trung tâm nghiên cứu', 'Phòng - ban - trung tâm']",active,,0,,,public,0,"Tầm nhìn, Giá trị cốt lõi và Chính sách chất lượng Chiến lược phát triển Danh hiệu - Khen thưởng Báo cáo thường niên Cơ cấu tổ chức BCH Đảng bộ Đại học Hội đồng Đại học Ban Giám đốc Đại học Các tổ chức đoàn thể Trường - Khoa - Viện đào tạo Viện - Trung tâm nghiên cứu Phòng - Ban - Trung tâm Hội đồng khoa học và đào tạo Hệ thống doanh nghiệp Đội ngũ cán bộ Thông tin công khai BÁO CÁO THƯỜNG NIÊN NĂM 2024 N",https://www.hust.edu.vn
,,,,,0.0,,,,2025-08-19T02:11:28.464603,VND,,,,,[],,,,,False,False,,,,,,HCMUT Page,,,,,0,,HCMUT,Crawler,[],active,,0,,,,0,,https://www.hcmut.edu.vn
,,,"mẫu và tách dung môi Khu 2, Đ. 3/2, P. Ninh Kiều, TP. Cần Thơ ĐT: +84292 3831 530; 3838 237; 3832 663 Fax: +84292 3838 474",,0.0,,,Cần Thơ,2025-08-19T02:11:30.681748,VND,Giới thiệu Giới thiệu Tin tức Tuyển sinh Đào tạo Nghiên cứu Hợp tác Đơn vị trực thuộc Tân sinh viên Người học Viên chức Cựu sinh viên Sự kiện English Tân sinh viên Người học Viên chức Cựu sinh viên EN Trang chủ Giới thiệu Tổng quan Đảng ủy Hội đồng Trường Ban Giám hiệu Hội đồng Khoa học và Đào tạo Hội đồng Đả,dhct@ctu.edu.vn,Đại học Cần Thơ - Can Tho University,https://facebook.com/ctudhct,[],,,"Lịch sử, Địa lý, và Ngoại ngữ. Sau đó mở rộng thành 5 Khoa: Toán - Lý (1980), Hóa - Sinh (1980), Sử - Địa (1982), Ngữ văn (1983) và Ngoại ngữ (1983). Trường Cao đẳng Nông nghiệp được đổi tên thành Khoa Nông nghiệp, đào tạo 2 ngành Trồng trọt và Chăn nuôi. Đến năm 1979, Khoa Nông nghiệp được mở rộng thành 7 Khoa: Trồng trọt (1977), Chăn nuôi - Thú y (1978), Thủy nông và Cải tạo đất (1978), Cơ khí Nông ngh",,False,False,,,https://www.ctu.edu.vn/images/upload/logo.png,,"Sứ mệnh Đại học Cần Thơ là nơi đào tạo con người tinh hoa trong môi trường học tập khai phóng, nghiên cứu khoa học và chuyển giao công nghệ đương đại, phát triển xã hội thịnh vượng Tầm nhìn Đại học Cần Thơ là nơi hội tụ, giao thoa và sản sinh tri thức - văn hóa - khoa học - công nghệ, tác động vào phát triển xã hội bền vững Giá trị cốt lõi Đồng thuận - Tận tâm - Chuẩn mực - Sáng tạo Triết lý giáo dục Vì",CTU,,Cần Thơ,,,0,,CTU,Crawler,"['Khu 2, Đ. 3/2, P. Ninh Kiều, TP. Cần Thơ', 'ĐT: +84292 3831 530; 3838 237; 3832 663', 'Fax: +84292 3838 474', 'dhct@ctu.edu.vn']",active,,0,,,public,0,"Tầm nhìn Đại học Cần Thơ là nơi hội tụ, giao thoa và sản sinh tri thức - văn hóa - khoa học - công nghệ, tác động vào phát triển xã hội bền vững Giá trị cốt lõi Đồng thuận - Tận tâm - Chuẩn mực - Sáng tạo Triết lý giáo dục Vì cộng đồng, toàn diện, ưu việt Mục tiêu giáo dục Đào tạo nhân lực trình độ cao, nâng cao dân trí, bồi dưỡng nhân tài; NCKH và công nghệ tạo ra tri thức, sản phẩm mới và phục vụ cộng đ",https://www.ctu.edu.vn
,,,,,0.0,,,,2025-08-19T02:11:31.689136,VND,,,,,[],,,,,False,False,,,,,,,,,,,0,,,Crawler error: Cannot fetch https://www.dhqghn.edu.vn,[],active,,0,,,,0,,https://www.dhqghn.edu.vn
,,,,,0.0,,,,2025-08-19T02:11:32.912205,VND,,,,,[],,,,,False,False,,,,,,,,,,,0,,,Crawler error: Cannot fetch https://www.udn.vn,[],active,,0,,,,0,,https://www.udn.vn
,,,,,0.0,,,,2025-08-19T02:11:33.939645,VND,,,,,[],,,,,False,False,,,,,,,,,,,0,,,Crawler error: Cannot fetch https://www.agu.edu.vn,[],active,,0,,,,0,,https://www.agu.edu.vn
,,,"Số 06, Trần Văn Ơn, Phường Phú Lợi, TP Hồ Chí Minh",,0.0,https://www.tdmu.edu.vn/img/slides/images/thumbs/931b1b25-f346-4488-880d-f9a71bd79de1.jpg,https://www.google.com/maps/embed?pb=!1m14!1m8!1m3!1d2328.927818491477!2d106.67377023692823!3d10.98041582001827!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3174d1085e2b1c37%3A0x73bfa5616464d0ee!2zVHLGsOG7nW5nIMSQ4bqhaSBo4buNYyBUaOG7pyBE4bqndSBN4buZdA!5e0!3m2!1svi!2s!4v1712215607339!5m2!1svi!2s,Hồ Chí Minh,2025-08-19T02:11:56.438602,VND,Giới thiệu - Đại học Thủ Dầu Một Giảng viên Sinh viên Lịch công tác Công khai TT36 Truyền thông Liên hệ English Giới thiệu Tin tức Tuyển sinh Tuyển sinh Đại học Tuyển sinh Sau Đại học Đào tạo theo nhu cầu Xã hội KHCN Đào tạo Hợp tác Kiểm định Tuyển dụng Thông báo Giới thiệu Tin tức Sự kiện Tuyển sinh KHCN Đào,,,https://www.facebook.com/dhtdm2009,['Thư Viện'],,,"LỊCH SỬ HÌNH THÀNH VÀ PHÁT TRIỂN GIỚI THIỆU TẦM NHÌN VÀ SỨ MỆNH GIÁ TRỊ CỐT LÕI HỘI ĐỒNG TRƯỜNG BAN GIÁM HIỆU BAN CHẤP HÀNH ĐẢNG BỘ CƠ CẤU TỔ CHỨC THÀNH TÍCH ĐƠN VỊ TRỰC THUỘC Khối Đào tạo Trường Kinh tế Tài chính Trường Luật và Quản lý Phát triển Khoa Sư Phạm Khoa Công nghiệp văn hóa, Thể thao và du lịch Khoa Kiến thức chung Viện Đào tạo Ngoại ngữ Viện Kỹ thuật Công nghệ Viện Đào tạo Kiến trúc, Xây dựng",,False,False,,,https://www.tdmu.edu.vn/img/brand/Logo_TDMU_2024_nguyen_ban.svg,,"SỨ MỆNH GIÁ TRỊ CỐT LÕI HỘI ĐỒNG TRƯỜNG BAN GIÁM HIỆU BAN CHẤP HÀNH ĐẢNG BỘ CƠ CẤU TỔ CHỨC THÀNH TÍCH ĐƠN VỊ TRỰC THUỘC Khối Đào tạo Trường Kinh tế Tài chính Trường Luật và Quản lý Phát triển Khoa Sư Phạm Khoa Công nghiệp văn hóa, Thể thao và du lịch Khoa Kiến thức chung Viện Đào tạo Ngoại ngữ Viện Kỹ thuật Công nghệ Viện Đào tạo Kiến trúc, Xây dựng và Giao thông Viện Đào tạo Quốc tế Viện Đào tạo theo nh",Trường Đại Học Thủ Dầu Một,0274-383-4512,Hồ Chí Minh,,,0,,TDMU,Crawler,"['Tuổi trẻ Khoa Công nghiệp Văn hóa, Thể thao và Du lịch mang mùa hè ý nghĩa đến với thiếu nhi khu phố 5 - Phường Phú Lợi.', 'Sinh viên ngành Kiến trúc tìm hiểu kiến trúc hiện đại và nhà cổ Nam Bộ', 'Tuyển sinh các ngành Đại học Vừa làm vừa học năm 2025', 'Tuyển sinh trình độ cao đẳng liên thông lên đại học, văn bằng thứ 2 ngành Giáo dục đặc biệt', 'Thư mời viết bài Hội thảo khoa học ""40 năm đổi mới đất nước - Lý luận và thực tiễn vùng kinh tế trọng điểm phía Nam""', 'Thư mời viết bài hội thảo khoa học ""Vai trò của trường đại học trong tư vấn tuyển sinh, định hướng nghề nghiệp cho học sinh phổ thông""', 'Thư mời viết bài hội thảo quốc gia “Ngành công nghiệp văn hóa ở Việt Nam trong bối cảnh chuyển đổi số, hội nhập và phát triển bền vững”', 'Thư mời viết bài cho Hội thảo khoa học ""Ứng dụng GIS toàn quốc năm 2025”', 'Thư mời viết bài hội thảo khoa học ""Hoạt động của cụ Phó bảng Nguyễn Sinh Sắc ở Thủ Dầu Một (1923 - 1926) với quá trình phát triển y tế, giáo dục của tỉnh Bình Dương""', 'Thư mời viết bài hội thảo khoa học ""Vai trò của trường đại học gắn với phát triển kinh tế xã hội địa phương""', 'Thư mời viết bài tham luận hội thảo khoa học ""Phát triển bền vững và quản lý phát triển bền vững tỉnh Bình Dương trong bối cảnh chuyển đổi số""', 'Thư mời viết bài Hội thảo khoa học ""Hội Việt Nam Cách mạng Thanh niên - Vai trò lịch sử và giá trị thời đại""', 'Tạp chí khoa học']",active,,0,,,,0,"TẦM NHÌN VÀ SỨ MỆNH GIÁ TRỊ CỐT LÕI HỘI ĐỒNG TRƯỜNG BAN GIÁM HIỆU BAN CHẤP HÀNH ĐẢNG BỘ CƠ CẤU TỔ CHỨC THÀNH TÍCH ĐƠN VỊ TRỰC THUỘC Khối Đào tạo Trường Kinh tế Tài chính Trường Luật và Quản lý Phát triển Khoa Sư Phạm Khoa Công nghiệp văn hóa, Thể thao và du lịch Khoa Kiến thức chung Viện Đào tạo Ngoại ngữ Viện Kỹ thuật Công nghệ Viện Đào tạo Kiến trúc, Xây dựng và Giao thông Viện Đào tạo Quốc tế Viện Đào",https://www.tdmu.edu.vn
,,,,,0.0,,,,2025-08-19T02:11:57.474775,VND,,,,,[],,,,,False,False,,,,,,,,,,,0,,,Crawler error: Cannot fetch https://www.ctuet.edu.vn,[],active,,0,,,,0,,https://www.ctuet.edu.vn
,,,,,0.0,,,,2025-08-19T02:11:58.495427,VND,,,,,[],,,,,False,False,,,,,,,,,,,0,,,Crawler error: Cannot fetch https://www.ctuet.edu.vn,[],active,,0,,,,0,,https://www.ctuet.edu.vn
